startTime,open,high,low,close,endTime,volume
1722787200000,5282210,5303233,5239259,5244468,1722790799999,1204.876
1722790800000,5243743,5251887,5110003,5173342,1722794399999,2890.320
1722794400000,5173342,5274884,5162378,5261860,1722797999999,1158.203
1722798000000,5261851,5334263,5242046,5317415,1722801599999,1050.753
1722801600000,5317281,5351276,5290758,5321880,1722805199999,704.936
1722805200000,5321835,5323537,5260698,5272794,1722808799999,615.826
1722808800000,5272794,5334068,5265646,5305601,1722812399999,795.577
1722812400000,5305556,5310836,5250832,5267271,1722815999999,585.360
1722816000000,5267271,5280077,5053223,5061541,1722819599999,4137.443
1722819600000,5062567,5102969,4744051,4946970,1722823199999,10352.147
1722823200000,4946233,4986215,4874728,4983562,1722826799999,3308.261
1722826800000,4984748,4985905,4912043,4915606,1722830399999,1983.123
1722830400000,4915606,4986739,4881315,4895836,1722833999999,1689.537
1722834000000,4895232,4925372,4780683,4819882,1722837599999,5320.111
1722837600000,4821501,4846170,4535756,4706038,1722841199999,12094.702
1722841200000,4706038,4855713,4695369,4816826,1722844799999,3543.456
1722844800000,4818180,4866163,4781004,4823990,1722848399999,2110.178
1722848400000,4825912,4841238,4732692,4815398,1722851999999,1611.888
1722852000000,4815398,4815398,4634183,4699322,1722855599999,2973.178
1722855600000,4699322,4747295,4630541,4696320,1722859199999,3028.202
1722859200000,4695213,4714977,4531117,4558155,1722862799999,4961.266
1722862800000,4557606,4803558,4535912,4752483,1722866399999,5210.728
1722866400000,4752016,4986851,4752016,4945996,1722869999999,5076.795
1722870000000,4946381,5029938,4898581,4970418,1722873599999,2626.072
1722873600000,4967252,5083008,4945237,4945923,1722877199999,2108.052
1722877200000,4946362,5039006,4919782,5005316,1722880799999,1640.990
1722880800000,5005316,5007466,4849134,4859282,1722884399999,1334.395
1722884400000,4859282,4904208,4807026,4894125,1722887999999,1947.566
1722888000000,4893155,4978058,4891398,4976704,1722891599999,1556.700
1722891600000,4977125,5051166,4964434,4974178,1722895199999,1082.536
1722895200000,4973968,5029069,4958468,5004035,1722898799999,950.821
1722898800000,5004035,5039985,4928209,4942044,1722902399999,971.354
1722902400000,4940882,5129646,4934897,5126471,1722905999999,1475.685
1722906000000,5127404,5147699,5068725,5098161,1722909599999,1136.785
1722909600000,5097603,5129399,5089267,5109379,1722913199999,506.318
1722913200000,5108546,5114292,5074636,5093256,1722916799999,480.788
1722916800000,5093668,5102178,5054168,5077271,1722920399999,523.406
1722920400000,5077271,5125428,5055586,5118986,1722923999999,615.460
1722924000000,5118794,5130168,5082533,5106304,1722927599999,685.604
1722927600000,5105911,5139363,5074517,5124604,1722931199999,538.141
1722931200000,5124193,5135346,4995864,5031567,1722934799999,1017.187
1722934800000,5031366,5060536,4994793,5052429,1722938399999,1026.779
1722938400000,5051322,5072459,5020304,5037725,1722941999999,652.166
1722942000000,5037725,5069457,5019361,5051102,1722945599999,536.032
1722945600000,5051844,5074929,5002516,5010861,1722949199999,812.673
1722949200000,5010861,5071178,4975304,5049968,1722952799999,1570.928
1722952800000,5050709,5180108,5044643,5134001,1722956399999,2537.897
1722956400000,5134001,5163199,5098664,5160884,1722959999999,934.010
1722960000000,5161085,5206698,5144313,5194629,1722963599999,1321.884
1722963600000,5193486,5209745,5166539,5168396,1722967199999,857.189
1722967200000,5168396,5219307,5155824,5187987,1722970799999,912.483
1722970800000,5188920,5198661,5148897,5186418,1722974399999,717.047
1722974400000,5186619,5192700,5129845,5160470,1722977999999,647.949
1722978000000,5159320,5169342,5119769,5149105,1722981599999,375.327
1722981600000,5149105,5191949,5099372,5121467,1722985199999,1063.627
1722985200000,5121877,5141637,5083164,5100918,1722988799999,575.728
1722988800000,5099279,5130171,5057118,5120762,1722992399999,852.830
1722992400000,5120962,5187819,5075653,5184225,1722995999999,979.307
1722996000000,5184225,5212844,5140208,5164887,1722999599999,1063.798
1722999600000,5165797,5185881,5148225,5173787,1723003199999,282.949
1723003200000,5173787,5210624,5163795,5191378,1723006799999,466.336
1723006800000,5191287,5210051,5158018,5166469,1723010399999,512.671
1723010400000,5166469,5184514,5154541,5164665,1723013999999,332.245
1723014000000,5165073,5184055,5134734,5167600,1723017599999,351.102
1723017600000,5168426,5208091,5160781,5200086,1723021199999,584.791
1723021200000,5199351,5229448,5182324,5193043,1723024799999,699.275
1723024800000,5192844,5224982,5183087,5186696,1723028399999,307.085
1723028400000,5186063,5190957,5139649,5148181,1723031999999,531.077
1723032000000,5147449,5180439,5132938,5172656,1723035599999,542.868
1723035600000,5171925,5187188,5114197,5125192,1723039199999,752.984
1723039200000,5125192,5140280,5016783,5051399,1723042799999,1720.357
1723042800000,5051399,5080278,5018517,5047114,1723046399999,648.583
1723046400000,5045098,5063777,5017580,5045283,1723049999999,560.970
1723050000000,5044169,5061661,4978052,4989494,1723053599999,971.847
1723053600000,4990221,4995206,4903933,4915912,1723057199999,1266.878
1723057200000,4915194,4947269,4899821,4907074,1723060799999,730.217
1723060800000,4906034,4953949,4892296,4936946,1723064399999,850.383
1723064400000,4936946,4971303,4909967,4956093,1723067999999,600.447
1723068000000,4955744,4961023,4877396,4940596,1723071599999,836.829
1723071600000,4940596,4952555,4902615,4919967,1723075199999,387.006
1723075200000,4920360,4940354,4878798,4929220,1723078799999,538.400
1723078800000,4928498,5107548,4925012,5065171,1723082399999,1977.500
1723082400000,5064449,5130917,5059693,5103866,1723085999999,888.918
1723086000000,5104587,5128528,5076044,5077068,1723089599999,471.209
1723089600000,5077068,5093168,5041494,5051534,1723093199999,400.793
1723093200000,5050813,5074051,5046879,5067660,1723096799999,215.460
1723096800000,5068586,5104177,5053100,5091940,1723100399999,371.977
1723100400000,5091940,5111039,5082844,5089821,1723103999999,361.523
1723104000000,5090026,5106553,5082523,5093488,1723107599999,190.338
1723107600000,5092572,5116397,5070455,5102664,1723111199999,460.530
1723111200000,5102664,5122751,5089003,5105735,1723114799999,295.564
1723114800000,5106135,5132452,5094138,5099247,1723118399999,522.227
1723118400000,5100546,5204249,5079764,5154044,1723121999999,1825.106
1723122000000,5153634,5183912,5045571,5096737,1723125599999,1499.705
1723125600000,5096737,5251356,5087703,5244281,1723129199999,1991.145
1723129200000,5244281,5297690,5218622,5289662,1723132799999,1549.342
1723132800000,5289876,5329214,5282186,5300600,1723136399999,1240.261
1723136400000,5300511,5327006,5274158,5291985,1723139999999,489.125
1723140000000,5292154,5312980,5279756,5279756,1723143599999,349.129
1723143600000,5280477,5324158,5271693,5288291,1723147199999,573.420
1723147200000,5289351,5312241,5277149,5294210,1723150799999,355.182
1723150800000,5294210,5461655,5294210,5443223,1723154399999,914.165
1723154400000,5443223,5566719,5394611,5548260,1723157999999,2223.376
1723158000000,5548260,5584030,5483468,5489075,1723161599999,1206.812
1723161600000,5488853,5494620,5435756,5447067,1723165199999,755.343
1723165200000,5447067,5476838,5407988,5463880,1723168799999,661.078
1723168800000,5464859,5470056,5441193,5448376,1723172399999,263.698
1723172400000,5449257,5479250,5443401,5460222,1723175999999,223.133
1723176000000,5459287,5463274,5402585,5402799,1723179599999,307.268
1723179600000,5402834,5429072,5391006,5426402,1723183199999,296.148
1723183200000,5426402,5438256,5404089,5417982,1723186799999,270.925
1723186800000,5417947,5448936,5405789,5416710,1723190399999,279.864
1723190400000,5416416,5438853,5393721,5436895,1723193999999,364.472
1723194000000,5437108,5447557,5403093,5406466,1723197599999,355.819
1723197600000,5407543,5415668,5354276,5392715,1723201199999,688.307
1723201200000,5391994,5409776,5370883,5397049,1723204799999,342.550
1723204800000,5397138,5411022,5359402,5389039,1723208399999,362.642
1723208400000,5388319,5406457,5320198,5378804,1723211999999,1171.057
1723212000000,5379712,5438621,5297307,5369451,1723215599999,1775.730
1723215600000,5369878,5390535,5318907,5321907,1723219199999,700.841
1723219200000,5321898,5379294,5314368,5377389,1723222799999,932.148
1723222800000,5377389,5404045,5351562,5356572,1723226399999,490.743
1723226400000,5356368,5371800,5322752,5366362,1723229999999,425.197
1723230000000,5366362,5405424,5348963,5399800,1723233599999,299.260
1723233600000,5400022,5426544,5385693,5405576,1723237199999,363.281
1723237200000,5405576,5417359,5332471,5404588,1723240799999,863.764
1723240800000,5404588,5428164,5365285,5408130,1723244399999,734.899
1723244400000,5407409,5422592,5370563,5414930,1723247999999,368.980
1723248000000,5414511,5471222,5383121,5387215,1723251599999,776.501
1723251600000,5387215,5425271,5379694,5380816,1723255199999,236.855
1723255200000,5380816,5404330,5368000,5387126,1723258799999,261.269
1723258800000,5387126,5387491,5363461,5378671,1723262399999,196.306
1723262400000,5378680,5379383,5360542,5376508,1723265999999,114.910
1723266000000,5376508,5381412,5368276,5370839,1723269599999,129.735
1723269600000,5370839,5385301,5368569,5379953,1723273199999,105.096
1723273200000,5379953,5415357,5379953,5413826,1723276799999,183.414
1723276800000,5415312,5419041,5393943,5403422,1723280399999,148.621
1723280400000,5403422,5438256,5403422,5419121,1723283999999,307.171
1723284000000,5419255,5429454,5396133,5408584,1723287599999,221.200
1723287600000,5408584,5429063,5406208,5420990,1723291199999,93.715
1723291200000,5421427,5423803,5402532,5403182,1723294799999,73.816
1723294800000,5402745,5405834,5376143,5378181,1723298399999,228.388
1723298400000,5378226,5399568,5375155,5390659,1723301999999,121.278
1723302000000,5390659,5406047,5383655,5384741,1723305599999,130.537
1723305600000,5384741,5402808,5374070,5398420,1723309199999,185.554
1723309200000,5398420,5416211,5388497,5407436,1723312799999,148.592
1723312800000,5407436,5445768,5403822,5424577,1723316399999,398.992
1723316400000,5423856,5440481,5413559,5429356,1723319999999,118.149
1723320000000,5429668,5437678,5418320,5426348,1723323599999,136.211
1723323600000,5425983,5442706,5424444,5434385,1723327199999,101.678
1723327200000,5434171,5434883,5417244,5421213,1723330799999,96.664
1723330800000,5421213,5422503,5405326,5420367,1723334399999,134.900
1723334400000,5420626,5449479,5417252,5435898,1723337999999,286.117
1723338000000,5435693,5442973,5423189,5437544,1723341599999,85.306
1723341600000,5438265,5439565,5425476,5430033,1723345199999,59.889
1723345200000,5430754,5461628,5429170,5434599,1723348799999,234.902
1723348800000,5434750,5440748,5416256,5417448,1723352399999,211.431
1723352400000,5418169,5440748,5416158,5436993,1723355999999,74.753
1723356000000,5436993,5442493,5427648,5437491,1723359599999,99.766
1723359600000,5438212,5451428,5434234,5451028,1723363199999,120.718
1723363200000,5450708,5466016,5441131,5450485,1723366799999,154.966
1723366800000,5451206,5505816,5427861,5436770,1723370399999,563.303
1723370400000,5437705,5451606,5423091,5430683,1723373999999,175.417
1723374000000,5430683,5434002,5376321,5398144,1723377599999,570.749
1723377600000,5397984,5401375,5358619,5383593,1723381199999,333.446
1723381200000,5383593,5394807,5353787,5380193,1723384799999,382.683
1723384800000,5379472,5405958,5356243,5369967,1723388399999,414.123
1723388400000,5370688,5377113,5333236,5350752,1723391999999,503.115
1723392000000,5349897,5365348,5337482,5354534,1723395599999,293.512
1723395600000,5354534,5371097,5341024,5363318,1723399199999,221.432
1723399200000,5363105,5370732,5350618,5361983,1723402799999,159.497
1723402800000,5361983,5364431,5297539,5305691,1723406399999,497.796
1723406400000,5305691,5311084,5186707,5205833,1723409999999,1387.078
1723410000000,5205415,5257586,5188371,5250377,1723413599999,495.371
1723413600000,5250377,5280896,5207195,5248553,1723417199999,748.584
1723417200000,5249274,5252131,5222520,5224808,1723420799999,278.003
1723420800000,5224087,5257542,5170722,5199995,1723424399999,798.090
1723424400000,5201125,5231269,5184268,5212277,1723427999999,552.798
1723428000000,5212277,5227131,5188175,5223847,1723431599999,357.315
1723431600000,5224051,5233378,5199363,5201614,1723435199999,277.367
1723435200000,5202014,5212537,5185799,5198207,1723438799999,230.089
1723438800000,5197238,5211477,5184358,5199312,1723442399999,250.946
1723442400000,5199312,5206060,5166821,5190818,1723445999999,319.737
1723446000000,5190818,5246917,5124558,5220198,1723449599999,1156.637
1723449600000,5220821,5252496,5187313,5194962,1723453199999,515.852
1723453200000,5194962,5226190,5185425,5199480,1723456799999,391.032
1723456800000,5200471,5267879,5184343,5265557,1723460399999,525.402
1723460400000,5264834,5360415,5257260,5349696,1723463999999,1156.040
1723464000000,5350385,5360533,5323555,5344520,1723467599999,501.039
1723467600000,5344538,5358490,5192053,5208468,1723471199999,1218.416
1723471200000,5208880,5440431,5175969,5407767,1723474799999,2876.955
1723474800000,5406628,5427469,5313937,5404631,1723478399999,1778.263
1723478400000,5404631,5424836,5346405,5351326,1723481999999,1087.062
1723482000000,5351111,5379945,5318890,5323650,1723485599999,646.489
1723485600000,5323865,5341565,5245982,5254387,1723489199999,818.544
1723489200000,5254683,5323614,5254683,5300697,1723492799999,799.712
1723492800000,5300697,5332711,5272940,5283545,1723496399999,699.415
1723496400000,5283545,5317265,5256479,5295309,1723499999999,420.294
1723500000000,5295399,5320345,5283671,5302089,1723503599999,255.013
1723503600000,5301963,5365272,5298910,5328732,1723507199999,420.212
1723507200000,5328562,5377566,5321189,5368244,1723510799999,409.303
1723510800000,5367822,5380251,5339122,5363817,1723514399999,276.199
1723514400000,5363090,5367679,5323389,5339984,1723517999999,266.300
1723518000000,5339984,5344124,5285566,5300814,1723521599999,575.280
1723521600000,5299961,5320489,5281767,5317777,1723525199999,183.283
1723525200000,5317050,5330609,5306112,5316816,1723528799999,166.912
1723528800000,5316089,5340263,5295533,5330654,1723532399999,244.135
1723532400000,5330654,5338763,5303000,5318944,1723535999999,196.720
1723536000000,5318944,5326802,5290424,5305771,1723539599999,200.268
1723539600000,5305977,5306291,5270246,5292121,1723543199999,320.745
1723543200000,5291914,5294743,5244168,5267929,1723546799999,381.565
1723546800000,5267309,5289023,5258680,5282477,1723550399999,317.822
1723550400000,5282683,5315164,5270183,5308994,1723553999999,587.522
1723554000000,5309156,5335297,5282593,5332477,1723557599999,617.586
1723557600000,5333205,5367975,5298892,5355439,1723561199999,696.160
1723561200000,5355646,5363575,5328688,5339500,1723564799999,484.119
1723564800000,5340227,5493857,5336770,5491872,1723568399999,1412.824
1723568400000,5491872,5529337,5467914,5491450,1723571999999,1332.548
1723572000000,5491154,5496263,5454991,5458520,1723575599999,654.681
1723575600000,5458296,5475295,5408744,5461134,1723579199999,934.696
1723579200000,5460918,5475636,5437399,5438531,1723582799999,252.040
1723582800000,5438531,5489654,5432371,5479291,1723586399999,318.146
1723586400000,5480234,5482865,5427809,5438989,1723589999999,703.907
1723590000000,5438989,5442689,5421729,5439007,1723593599999,190.314
1723593600000,5440920,5464142,5425016,5457407,1723597199999,249.440
1723597200000,5457407,5461574,5433332,5433457,1723600799999,251.020
1723600800000,5433332,5462579,5431069,5459158,1723604399999,233.162
1723604400000,5459885,5504696,5459158,5473140,1723607999999,356.423
1723608000000,5472412,5491199,5466845,5472125,1723611599999,206.037
1723611600000,5472125,5484535,5458511,5461780,1723615199999,141.690
1723615200000,5461780,5469718,5444350,5465049,1723618799999,412.034
1723618800000,5464322,5472125,5450501,5469907,1723622399999,165.831
1723622400000,5470123,5471000,5444323,5467102,1723625999999,210.217
1723626000000,5468407,5475187,5459248,5463531,1723629599999,156.825
1723629600000,5463316,5506788,5461636,5485209,1723633199999,301.253
1723633200000,5484993,5516675,5466198,5503510,1723636799999,326.568
1723636800000,5502783,5554310,5464501,5483889,1723640399999,1430.520
1723640400000,5483889,5493830,5338745,5352188,1723643999999,1715.506
1723644000000,5352619,5353472,5279702,5341915,1723647599999,1697.058
1723647600000,5341852,5373210,5287245,5336572,1723651199999,1258.016
1723651200000,5336572,5338287,5263152,5308680,1723654799999,972.380
1723654800000,5308321,5331453,5299485,5310934,1723658399999,363.007
1723658400000,5310934,5338790,5280079,5295506,1723661999999,398.964
1723662000000,5295237,5308438,5271287,5286984,1723665599999,345.491
1723665600000,5286562,5313646,5285557,5310377,1723669199999,202.784
1723669200000,5310593,5311230,5284183,5288969,1723672799999,136.889
1723672800000,5289185,5298021,5244859,5294896,1723676399999,532.412
1723676400000,5295318,5299556,5266537,5268207,1723679999999,270.094
1723680000000,5267139,5300257,5267139,5296512,1723683599999,305.201
1723683600000,5296629,5301254,5219302,5224304,1723687199999,663.113
1723687200000,5224430,5257108,5207422,5243270,1723690799999,1002.949
1723690800000,5243270,5251531,5237262,5246197,1723694399999,101.755
1723694400000,5246278,5248712,5219940,5240863,1723697999999,194.965
1723698000000,5240648,5264166,5223280,5235502,1723701599999,301.188
1723701600000,5235502,5242417,5192165,5215854,1723705199999,482.888
1723705200000,5215773,5220236,5179790,5210340,1723708799999,386.730
1723708800000,5210349,5240711,5202626,5239696,1723712399999,291.793
1723712400000,5238968,5256057,5232287,5243369,1723715999999,226.157
1723716000000,5243369,5255590,5232269,5239426,1723719599999,213.136
1723719600000,5238367,5284802,5237801,5273649,1723723199999,425.431
1723723200000,5272814,5330520,5260179,5277241,1723726799999,998.027
1723726800000,5277241,5339868,5254962,5337201,1723730399999,869.317
1723730400000,5336761,5363665,5313484,5333986,1723733999999,936.665
1723734000000,5334201,5366404,5320426,5357217,1723737599999,623.787
1723737600000,5357217,5373273,5334974,5345031,1723741199999,489.438
1723741200000,5345085,5346531,5277178,5285557,1723744799999,541.181
1723744800000,5285772,5286167,5163626,5193664,1723748399999,2058.393
1723748400000,5193458,5202869,5086811,5120935,1723751999999,1949.037
1723752000000,5120405,5128317,5034153,5087251,1723755599999,1084.665
1723755600000,5087251,5174276,5081450,5172094,1723759199999,960.185
1723759200000,5172094,5196735,5150120,5172391,1723762799999,554.359
1723762800000,5171466,5191168,5160070,5165270,1723766399999,216.081
1723766400000,5165054,5176979,5148351,5159172,1723769999999,251.144
1723770000000,5159172,5171978,5124509,5164821,1723773599999,350.745
1723773600000,5165548,5252367,5145918,5224969,1723777199999,753.603
1723777200000,5224241,5226666,5188824,5196322,1723780799999,291.116
1723780800000,5196322,5235691,5188618,5234820,1723784399999,251.356
1723784400000,5234802,5236921,5217201,5223855,1723787999999,172.045
1723788000000,5224780,5264463,5211741,5254540,1723791599999,358.319
1723791600000,5254755,5257485,5235340,5248245,1723795199999,171.065
1723795200000,5247724,5261625,5236418,5239202,1723798799999,170.297
1723798800000,5239839,5268028,5229944,5268028,1723802399999,261.060
1723802400000,5268028,5268207,5234065,5246054,1723805999999,163.321
1723806000000,5246054,5264005,5227797,5244042,1723809599999,281.470
1723809600000,5242929,5254198,5163806,5196017,1723813199999,829.962
1723813200000,5196188,5287820,5184963,5238573,1723816799999,1347.350
1723816800000,5237846,5250077,5195083,5209325,1723820399999,725.264
1723820400000,5209325,5227276,5175166,5213402,1723823999999,452.750
1723824000000,5213402,5273263,5206425,5258222,1723827599999,723.749
1723827600000,5258222,5330708,5241833,5317579,1723831199999,754.741
1723831200000,5317579,5348165,5304424,5338763,1723834799999,822.812
1723834800000,5339742,5371441,5333851,5358995,1723838399999,681.857
1723838400000,5359642,5361357,5313781,5320686,1723841999999,307.283
1723842000000,5320112,5325922,5292435,5299952,1723845599999,216.017
1723845600000,5299646,5313835,5294267,5294267,1723849199999,275.950
1723849200000,5294267,5302511,5273865,5287029,1723852799999,238.310
1723852800000,5286302,5321405,5279549,5314598,1723856399999,236.344
1723856400000,5314373,5332477,5307360,5319699,1723859999999,135.250
1723860000000,5320273,5328212,5307180,5311114,1723863599999,100.177
1723863600000,5311195,5313960,5296862,5311832,1723867199999,99.792
1723867200000,5312030,5321396,5304316,5317175,1723870799999,80.822
1723870800000,5317238,5319914,5310261,5311536,1723874399999,41.526
1723874400000,5311320,5317786,5310054,5311626,1723877999999,37.824
1723878000000,5312030,5321126,5301451,5319196,1723881599999,77.375
1723881600000,5318854,5323704,5311536,5322770,1723885199999,54.227
1723885200000,5322042,5340766,5316735,5326038,1723888799999,123.047
1723888800000,5326038,5329011,5304370,5306866,1723892399999,100.670
1723892400000,5306651,5313628,5301981,5308770,1723895999999,63.469
1723896000000,5308070,5321800,5305591,5317058,1723899599999,56.951
1723899600000,5317058,5336509,5313449,5325356,1723903199999,145.059
1723903200000,5325132,5346782,5318971,5344439,1723906799999,117.075
1723906800000,5344439,5355771,5328903,5331840,1723910399999,154.382
1723910400000,5331121,5359597,5331121,5352134,1723913999999,160.874
1723914000000,5351578,5357621,5334659,5335943,1723917599999,89.296
1723917600000,5335943,5339949,5323416,5334183,1723921199999,110.478
1723921200000,5334183,5345579,5331067,5339095,1723924799999,57.046
1723924800000,5339517,5341870,5325572,5332486,1723928399999,47.235
1723928400000,5331759,5335459,5310045,5323865,1723931999999,112.640
1723932000000,5324781,5328499,5318549,5325230,1723935599999,46.149
1723935600000,5325437,5341421,5323659,5341421,1723939199999,55.200
1723939200000,5341331,5363880,5334534,5356553,1723942799999,159.934
1723942800000,5356553,5358986,5333249,5335378,1723946399999,90.967
1723946400000,5336312,5409597,5331786,5398570,1723949999999,438.808
1723950000000,5398570,5409373,5323389,5327484,1723953599999,479.111
1723953600000,5326757,5342077,5319393,5338449,1723957199999,180.193
1723957200000,5338449,5359408,5333573,5341233,1723960799999,186.725
1723960800000,5340505,5353410,5339652,5350518,1723964399999,49.640
1723964400000,5350518,5355708,5342202,5348920,1723967999999,62.320
1723968000000,5347501,5361779,5335378,5360486,1723971599999,127.555
1723971600000,5360118,5397331,5354712,5376506,1723975199999,277.912
1723975200000,5375779,5404191,5371352,5375509,1723978799999,327.461
1723978800000,5375509,5389410,5364644,5388171,1723982399999,163.934
1723982400000,5387812,5410810,5376174,5384902,1723985999999,278.694
1723986000000,5384687,5407361,5370669,5371567,1723989599999,194.711
1723989600000,5371352,5384974,5356786,5369205,1723993199999,222.965
1723993200000,5369205,5380673,5359624,5374351,1723996799999,81.977
1723996800000,5375078,5382370,5366080,5372420,1724000399999,94.346
1724000400000,5371693,5374530,5330421,5344421,1724003999999,331.120
1724004000000,5344636,5353131,5337892,5349952,1724007599999,144.630
1724007600000,5349952,5365021,5341996,5359920,1724011199999,116.277
1724011200000,5359920,5375051,5357397,5370346,1724014799999,111.052
1724014800000,5370346,5370561,5326514,5337165,1724018399999,210.907
1724018400000,5336446,5349342,5327116,5327296,1724021999999,209.684
1724022000000,5327269,5333312,5243171,5244159,1724025599999,820.296
1724025600000,5244159,5271377,5226001,5238034,1724029199999,835.613
1724029200000,5238573,5262532,5226729,5256165,1724032799999,336.418
1724032800000,5257063,5274754,5244581,5266869,1724036399999,189.777
1724036400000,5267668,5276442,5257395,5273191,1724039999999,163.496
1724040000000,5272563,5274332,5249412,5259802,1724043599999,178.840
1724043600000,5259802,5262640,5240199,5250122,1724047199999,152.336
1724047200000,5250553,5267130,5241429,5258329,1724050799999,171.830
1724050800000,5258329,5274664,5251513,5252232,1724054399999,157.792
1724054400000,5253067,5266690,5245587,5262110,1724057999999,124.314
1724058000000,5261382,5268028,5204252,5207781,1724061599999,639.167
1724061600000,5208508,5225570,5188375,5211957,1724065199999,524.525
1724065200000,5211328,5252932,5204665,5242111,1724068799999,348.830
1724068800000,5242058,5253794,5230545,5244671,1724072399999,176.712
1724072400000,5244671,5295210,5213196,5225822,1724075999999,790.512
1724076000000,5225822,5264418,5213411,5262729,1724079599999,415.819
1724079600000,5262945,5277493,5252762,5254863,1724083199999,338.442
1724083200000,5254782,5271539,5240477,5270524,1724086799999,216.399
1724086800000,5270524,5323686,5256336,5298946,1724090399999,666.931
1724090400000,5298200,5318495,5272293,5297787,1724093999999,299.089
1724094000000,5297626,5309030,5284695,5293253,1724097599999,213.966
1724097600000,5293675,5327718,5288152,5303642,1724101199999,251.597
1724101200000,5303427,5318801,5292417,5293764,1724104799999,126.626
1724104800000,5293971,5321782,5293971,5318801,1724108399999,145.115
1724108400000,5318801,5352880,5305340,5336455,1724111999999,420.748
1724112000000,5336832,5446775,5329720,5431230,1724115599999,1079.390
1724115600000,5430503,5469907,5420751,5427477,1724119199999,556.339
1724119200000,5427252,5437839,5417940,5435145,1724122799999,227.078
1724122800000,5435074,5445041,5425708,5444736,1724126399999,215.302
1724126400000,5444512,5482919,5439905,5466540,1724129999999,798.084
1724130000000,5466207,5514681,5465660,5489259,1724133599999,681.944
1724133600000,5489097,5491737,5471865,5474262,1724137199999,303.639
