startTime,open,high,low,close,endTime,volume
1727520900000,5685542,5688457,5685222,5688284,1727521199999,2.403
1727521200000,5687497,5691017,5686978,5690187,1727521499999,2.848
1727521500000,5690974,5690974,5688197,5688370,1727521799999,4.431
1727521800000,5689157,5689157,5683518,5683518,1727522099999,5.940
1727522100000,5683518,5688457,5683518,5687618,1727522399999,5.572
1727522400000,5688284,5688630,5684729,5685075,1727522699999,2.186
1727522700000,5686000,5686000,5683613,5683820,1727522999999,1.619
1727523000000,5683552,5684279,5681459,5683353,1727523299999,6.984
1727523300000,5683353,5689088,5682229,5688301,1727523599999,1.905
1727523600000,5689123,5689149,5686995,5687168,1727523899999,2.919
1727523900000,5687168,5687955,5684746,5684772,1727524199999,3.806
1727524200000,5684772,5689149,5684218,5687177,1727524499999,3.209
1727524500000,5687920,5691960,5687920,5690100,1727524799999,5.960
1727524800000,5690887,5691181,5683699,5683699,1727525099999,7.150
1727525100000,5683552,5684962,5683180,5683180,1727525399999,2.064
1727525400000,5682661,5683293,5676779,5682142,1727525699999,11.358
1727525700000,5681459,5681459,5675741,5679020,1727525999999,8.100
1727526000000,5679020,5679738,5676615,5678509,1727526299999,5.919
1727526300000,5679296,5679296,5676606,5676779,1727526599999,3.772
1727526600000,5676433,5678596,5674011,5674011,1727526899999,4.353
1727526900000,5674011,5675957,5672238,5672273,1727527199999,6.824
1727527200000,5672273,5674911,5658433,5661953,1727527499999,57.211
1727527500000,5662351,5670266,5661728,5667766,1727527799999,14.478
1727527800000,5666979,5670638,5664712,5670638,1727528099999,9.569
1727528100000,5670724,5671503,5666806,5668302,1727528399999,6.144
1727528400000,5668302,5670724,5662766,5662766,1727528699999,12.436
1727528700000,5662619,5667342,5660526,5662853,1727528999999,10.276
1727529000000,5662853,5663925,5658960,5659479,1727529299999,7.183
1727529300000,5659479,5665941,5657663,5664185,1727529599999,10.315
1727529600000,5664150,5668043,5663666,5666667,1727529899999,5.224
1727529900000,5665880,5669600,5663666,5669479,1727530199999,5.132
1727530200000,5668691,5669686,5663761,5665975,1727530499999,5.085
1727530500000,5666079,5666486,5662619,5666140,1727530799999,5.543
1727530800000,5666140,5674098,5664557,5673311,1727531099999,13.432
1727531100000,5673311,5673311,5669513,5669902,1727531399999,3.917
1727531400000,5669902,5670984,5665015,5667576,1727531699999,5.105
1727531700000,5668380,5669678,5666399,5667861,1727531999999,2.814
1727532000000,5667861,5675802,5667074,5673060,1727532299999,9.803
1727532300000,5672273,5678760,5672273,5677904,1727532599999,10.666
1727532600000,5678051,5682384,5676485,5676485,1727532899999,10.424
1727532900000,5676485,5681018,5676485,5677644,1727533199999,2.664
1727533200000,5678933,5688967,5678146,5687678,1727533499999,16.377
1727533500000,5687678,5692617,5682134,5683941,1727533799999,32.061
1727533800000,5682653,5687471,5682653,5685983,1727534099999,5.272
1727534100000,5685870,5689841,5684919,5689322,1727534399999,6.834
1727534400000,5688535,5689157,5684746,5686926,1727534699999,9.611
1727534700000,5687410,5687410,5681122,5682704,1727534999999,5.026
1727535000000,5681917,5682938,5680663,5682921,1727535299999,2.734
1727535300000,5682921,5684988,5682134,5684201,1727535599999,3.341
1727535600000,5684201,5685040,5680412,5680646,1727535899999,14.819
1727535900000,5680646,5684305,5679028,5681459,1727536199999,8.267
1727536200000,5681459,5682748,5679374,5680378,1727536499999,6.458
1727536500000,5681173,5681364,5675568,5675568,1727536799999,16.019
1727536800000,5676520,5678596,5675222,5677809,1727537099999,46.106
1727537100000,5677809,5680282,5677125,5678319,1727537399999,69.539
1727537400000,5678319,5681191,5676226,5680577,1727537699999,44.120
1727537700000,5681364,5681364,5676226,5676528,1727537999999,2.793
1727538000000,5677316,5678423,5675179,5675179,1727538299999,2.175
1727538300000,5675179,5678051,5674937,5676087,1727538599999,3.760
1727538600000,5675395,5676952,5674530,5676952,1727538899999,3.145
1727538900000,5676165,5676355,5675049,5676009,1727539199999,2.296
1727539200000,5675222,5676009,5674020,5674184,1727539499999,1.355
1727539500000,5674184,5675620,5672627,5673319,1727539799999,2.497
1727539800000,5673025,5676174,5671598,5674124,1727540099999,1.676
1727540100000,5674020,5674807,5669574,5671771,1727540399999,4.861
1727540400000,5671684,5677558,5668899,5677212,1727540699999,21.001
1727540700000,5677212,5679807,5676598,5678362,1727540999999,2.598
1727541000000,5678362,5679288,5674530,5675482,1727541299999,3.322
1727541300000,5674695,5674695,5666936,5668890,1727541599999,6.924
1727541600000,5669773,5670984,5666313,5667524,1727541899999,4.421
1727541900000,5667697,5669098,5665361,5667852,1727542199999,3.589
1727542200000,5667065,5669946,5663666,5665794,1727542499999,21.890
1727542500000,5664678,5668164,5664323,5665759,1727542799999,4.801
1727542800000,5666321,5670638,5664800,5669851,1727543099999,4.001
1727543100000,5670949,5671996,5668899,5670179,1727543399999,2.118
1727543400000,5669392,5673233,5669392,5672869,1727543699999,4.189
1727543700000,5672082,5673752,5668994,5669799,1727543999999,3.855
1727544000000,5670984,5675845,5670837,5673752,1727544299999,2.309
1727544300000,5672965,5685126,5672965,5681753,1727544599999,10.735
1727544600000,5680412,5682566,5675222,5675793,1727544899999,5.253
1727544900000,5675395,5678942,5675179,5676226,1727545199999,5.572
1727545200000,5676226,5679980,5676226,5677956,1727545499999,4.273
1727545500000,5677117,5678942,5676779,5677904,1727545799999,2.696
1727545800000,5678405,5678405,5674184,5674184,1727546099999,0.653
1727546100000,5674184,5676174,5673146,5676174,1727546399999,2.124
1727546400000,5676347,5686381,5675560,5686035,1727546699999,15.977
1727546700000,5685248,5687419,5681459,5681459,1727546999999,7.421
1727547000000,5680585,5689149,5680421,5689149,1727547299999,3.790
1727547300000,5689149,5692929,5687419,5690100,1727547599999,20.890
1727547600000,5689235,5692704,5689235,5690377,1727547899999,3.323
1727547900000,5691225,5692609,5686813,5687696,1727548199999,3.858
1727548200000,5687765,5690360,5685550,5688889,1727548499999,4.462
1727548500000,5688716,5688716,5686035,5687739,1727548799999,2.904
1727548800000,5687739,5688526,5683647,5684037,1727549099999,3.831
1727549100000,5684028,5685689,5682834,5682834,1727549399999,2.261
1727549400000,5682834,5684227,5681753,5681753,1727549699999,0.720
1727549700000,5681753,5683267,5681104,5682030,1727549999999,1.390
1727550000000,5681243,5684962,5680931,5680931,1727550299999,5.210
1727550300000,5681718,5682869,5681320,5681511,1727550599999,0.761
1727550600000,5681519,5685343,5681519,5683872,1727550899999,3.795
1727550900000,5683872,5688517,5682661,5687592,1727551199999,6.448
