startTime,open,high,low,close,endTime,volume
1725269400000,5129974,5172126,5122734,5166268,1725271199999,406.416
1725271200000,5165684,5182534,5156010,5177330,1725272999999,250.262
1725273000000,5177357,5183136,5162028,5174675,1725274799999,133.778
1725274800000,5174799,5189490,5160966,5188357,1725276599999,215.334
1725276600000,5189074,5189800,5164356,5167223,1725278399999,150.853
1725278400000,5167940,5176011,5152293,5165391,1725280199999,157.722
1725280200000,5166161,5168153,5153178,5164551,1725281999999,145.299
1725282000000,5164551,5174144,5151054,5154409,1725283799999,124.345
1725283800000,5154409,5159904,5143930,5146904,1725285599999,157.901
1725285600000,5145992,5170011,5139204,5166914,1725287399999,186.355
1725287400000,5167737,5203606,5167020,5184330,1725289199999,510.757
1725289200000,5185047,5195402,5174064,5178923,1725290999999,152.901
1725291000000,5179640,5196756,5177268,5179020,1725292799999,120.466
1725292800000,5179498,5189384,5170029,5171932,1725294599999,113.198
1725294600000,5171976,5176835,5157019,5160843,1725296399999,107.302
1725296400000,5160843,5174064,5157365,5171356,1725298199999,79.800
1725298200000,5171498,5181136,5164860,5177180,1725299999999,81.213
1725300000000,5177250,5190428,5171073,5177498,1725301799999,84.144
1725301800000,5177569,5181162,5158763,5174746,1725303599999,82.588
1725303600000,5174746,5180675,5166099,5177250,1725305399999,53.363
1725305400000,5177250,5179012,5165993,5170728,1725307199999,51.385
1725307200000,5170011,5182534,5164754,5176233,1725308999999,76.068
1725309000000,5176180,5241864,5174932,5217704,1725310799999,414.273
1725310800000,5217704,5244360,5217704,5243625,1725312599999,316.181
1725312600000,5242909,5244510,5207854,5222872,1725314399999,154.549
1725314400000,5222562,5238696,5218668,5237776,1725316199999,127.357
1725316200000,5237466,5250652,5228094,5249643,1725317999999,163.588
1725318000000,5249643,5257254,5224518,5226766,1725319799999,138.410
1725319800000,5226855,5236545,5225642,5231165,1725321599999,92.492
1725321600000,5230448,5232519,5220943,5230952,1725323399999,90.215
1725323400000,5230952,5242431,5222509,5242431,1725325199999,77.646
1725325200000,5241714,5255803,5236625,5241661,1725326999999,120.032
1725327000000,5241661,5255051,5235997,5252989,1725328799999,106.805
1725328800000,5253086,5292141,5249254,5271176,1725330599999,338.523
1725330600000,5270459,5277592,5246280,5246705,1725332399999,155.670
1725332400000,5246688,5249077,5230041,5230235,1725334199999,102.710
1725334200000,5230881,5237333,5226598,5230209,1725335999999,94.591
1725336000000,5230120,5235616,5225571,5231474,1725337799999,70.576
1725337800000,5230758,5241457,5219890,5228085,1725339599999,103.343
1725339600000,5227837,5242891,5218642,5240900,1725341399999,115.325
1725341400000,5240900,5241528,5231386,5236590,1725343199999,33.602
1725343200000,5235678,5235678,5208358,5217385,1725344999999,153.621
1725345000000,5217385,5221987,5207703,5209252,1725346799999,65.243
1725346800000,5209252,5219907,5208447,5215695,1725348599999,59.311
1725348600000,5214978,5231218,5214978,5228315,1725350399999,58.751
1725350400000,5228209,5231722,5220474,5221279,1725352199999,52.222
1725352200000,5221102,5221828,5193057,5200278,1725353999999,200.745
1725354000000,5199048,5211588,5198437,5206765,1725355799999,86.523
1725355800000,5206606,5215031,5204110,5207040,1725357599999,61.651
1725357600000,5207040,5235935,5203588,5233802,1725359399999,114.199
1725359400000,5233802,5234988,5215783,5226616,1725361199999,76.638
1725361200000,5225899,5228802,5213810,5224315,1725362999999,68.368
1725363000000,5224509,5228288,5216252,5224580,1725364799999,62.556
1725364800000,5225297,5242386,5223226,5238130,1725366599999,145.590
1725366600000,5238085,5250909,5230510,5231634,1725368399999,137.314
1725368400000,5231634,5247670,5227580,5229669,1725370199999,97.153
1725370200000,5229465,5232156,5148391,5166453,1725371999999,806.411
1725372000000,5165737,5165737,5109964,5133531,1725373799999,906.841
1725373800000,5132974,5132974,5090140,5099733,1725375599999,613.629
1725375600000,5100450,5131770,5095645,5109238,1725377399999,328.460
1725377400000,5109982,5120363,5096521,5104291,1725379199999,232.459
1725379200000,5102397,5123619,5100539,5106557,1725380999999,231.879
1725381000000,5106557,5114831,5098485,5102486,1725382799999,190.635
1725382800000,5102371,5132664,5099875,5131230,1725384599999,178.516
1725384600000,5131230,5138664,5101043,5101955,1725386399999,243.716
1725386400000,5101955,5123531,5091140,5119442,1725388199999,244.631
1725388200000,5119345,5134593,5118115,5123088,1725389999999,134.499
1725390000000,5122212,5152196,5121080,5130195,1725391799999,182.249
1725391800000,5130195,5139744,5115654,5133894,1725393599999,246.284
1725393600000,5133894,5151054,5133894,5141912,1725395399999,99.260
1725395400000,5141912,5150727,5133779,5149771,1725397199999,102.178
1725397200000,5149054,5151054,5125398,5128460,1725398999999,129.016
1725399000000,5128460,5142125,5126204,5140771,1725400799999,82.717
1725400800000,5140983,5146329,5123257,5125593,1725402599999,117.366
1725402600000,5126434,5128452,5116885,5117902,1725404399999,49.411
1725404400000,5117902,5121451,5099105,5099105,1725406199999,93.690
1725406200000,5099008,5107707,5077237,5083219,1725407999999,189.490
1725408000000,5083219,5124504,5081184,5112114,1725409799999,213.819
1725409800000,5112114,5123212,5054351,5055439,1725411599999,307.489
1725411600000,5055439,5057660,4913512,4989648,1725413399999,1976.808
1725413400000,4989648,5033942,4983710,5021066,1725415199999,366.851
1725415200000,5021075,5025349,4997764,5006835,1725416999999,195.331
1725417000000,5006118,5020570,5005667,5009747,1725418799999,83.170
1725418800000,5009941,5025384,5006091,5025384,1725420599999,68.822
1725420600000,5024668,5027862,5008835,5011021,1725422399999,139.053
1725422400000,5010304,5014853,5001428,5003330,1725424199999,118.937
1725424200000,5003330,5017419,5002020,5014446,1725425999999,47.803
1725426000000,5013729,5013729,4992816,4996427,1725427799999,114.196
1725427800000,4996374,4998330,4967267,4974143,1725429599999,253.629
1725429600000,4973426,4998666,4972638,4996826,1725431399999,198.323
1725431400000,4995923,4999427,4974099,4977356,1725433199999,156.197
1725433200000,4977426,5007684,4974585,4997923,1725434999999,294.234
1725435000000,4997923,5030818,4996418,5018349,1725436799999,132.748
1725436800000,5019366,5027916,5010685,5027916,1725438599999,79.847
1725438600000,5028022,5032305,5014410,5021172,1725440399999,100.885
