startTime,open,high,low,close,endTime,volume
1722794400000,5173342,5351276,5162378,5267271,1722815999999,4911.396
1722816000000,5267271,5280077,4744051,4819882,1722837599999,27089.400
1722837600000,4821501,4866163,4535756,4696320,1722859199999,25399.786
1722859200000,4695213,5083008,4531117,5005316,1722880799999,21792.042
1722880800000,5005316,5051166,4807026,4942044,1722902399999,7843.705
1722902400000,4940882,5147699,4934897,5118986,1722923999999,4740.140
1722924000000,5118794,5139363,4994793,5051102,1722945599999,4456.689
1722945600000,5051844,5209745,4975304,5168396,1722967199999,8036.242
1722967200000,5168396,5219307,5083164,5100918,1722988799999,4293.417
1722988800000,5099279,5212844,5057118,5166469,1723010399999,4160.086
1723010400000,5166469,5229448,5134734,5148181,1723031999999,2806.133
1723032000000,5147449,5187188,4978052,4989494,1723053599999,5197.947
1723053600000,4990221,4995206,4877396,4919967,1723075199999,4673.032
1723075200000,4920360,5130917,4878798,5067660,1723096799999,4492.419
1723096800000,5068586,5132452,5053100,5099247,1723118399999,2202.601
1723118400000,5100546,5329214,5045571,5291985,1723139999999,8594.873
1723140000000,5292154,5584030,5271693,5489075,1723161599999,5622.704
1723161600000,5488853,5494620,5391006,5426402,1723183199999,2506.720
1723183200000,5426402,5448936,5354276,5397049,1723204799999,2302.011
1723204800000,5397138,5438621,5297307,5356572,1723226399999,5433.250
1723226400000,5356368,5428164,5322752,5414930,1723247999999,3055.593
1723248000000,5414511,5471222,5360542,5370839,1723269599999,1716.722
1723269600000,5370839,5438256,5368569,5420990,1723291199999,1059.254
1723291200000,5421427,5423803,5374070,5407436,1723312799999,888.319
1723312800000,5407436,5445768,5403822,5420367,1723334399999,987.095
1723334400000,5420626,5461628,5416158,5436993,1723355999999,952.564
1723356000000,5436993,5505816,5376321,5398144,1723377599999,1686.057
1723377600000,5397984,5405958,5333236,5363318,1723399199999,2148.397
1723399200000,5363105,5370732,5186707,5224808,1723420799999,3566.654
1723420800000,5224087,5257542,5170722,5199312,1723442399999,2467.044
1723442400000,5199312,5360415,5124558,5349696,1723463999999,4064.838
1723464000000,5350385,5440431,5175969,5323650,1723485599999,8110.884
1723485600000,5323865,5365272,5245982,5328732,1723507199999,3414.213
1723507200000,5328562,5380251,5281767,5316816,1723528799999,1877.326
1723528800000,5316089,5340263,5244168,5282477,1723550399999,1661.788
1723550400000,5282683,5529337,5270183,5491450,1723571999999,5131.019
1723572000000,5491154,5496263,5408744,5439007,1723593599999,3054.014
1723593600000,5440920,5504696,5425016,5461780,1723615199999,1438.047
1723615200000,5461780,5516675,5444323,5503510,1723636799999,1573.011
1723636800000,5502783,5554310,5263152,5310934,1723658399999,7437.162
1723658400000,5310934,5338790,5244859,5268207,1723679999999,1886.698
1723680000000,5267139,5301254,5207422,5235502,1723701599999,2569.550
1723701600000,5235502,5284802,5179790,5273649,1723723199999,2026.866
1723723200000,5272814,5373273,5254962,5285557,1723744799999,4459.907
1723744800000,5285772,5286167,5034153,5165270,1723766399999,6823.119
1723766400000,5165054,5252367,5124509,5223855,1723787999999,2071.162
1723788000000,5224780,5268207,5211741,5244042,1723809599999,1406.272
1723809600000,5242929,5330708,5163806,5317579,1723831199999,4834.020
1723831200000,5317579,5371441,5273865,5287029,1723852799999,2542.829
1723852800000,5286302,5332477,5279549,5311536,1723874399999,694.089
1723874400000,5311320,5340766,5301451,5308770,1723895999999,456.749
1723896000000,5308070,5359597,5305591,5335943,1723917599999,724.988
1723917600000,5335943,5345579,5310045,5341421,1723939199999,429.151
1723939200000,5341331,5409597,5319393,5341233,1723960799999,1537.614
1723960800000,5340505,5404191,5335378,5388171,1723982399999,1009.124
1723982400000,5387812,5410810,5330421,5344421,1724003999999,1204.113
